"filename", "language", "JSON", "TypeScript", "JSON with Comments", "MS SQL", "TypeScript JSX", "JavaScript", "Markdown", "PowerShell", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\utils\password.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 12, 63
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\utils\password_test.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\appointment.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\audit.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\auth.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 15, 19, 108
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\clinic.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\consent.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\consultation.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\doctor.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 6, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\prescription.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\server\validators\user.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\tailwind.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\tsconfig.json", "JSON with Comments", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\vitest.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\vitest.setup.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 15656, 4288, 110, 180, 9372, 20, 5572, 25, 153, 1300, 5260, 41936
