"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "MS SQL", "PowerShell", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\admin\metrics\route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 8, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\cancel\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 9, 41
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\complete\route.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 8, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\confirm\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 9, 41
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\reschedule\route.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 12, 54
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\[id]\route.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 14, 64
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\appointments\route.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 10, 27, 125
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\login\route.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\logout\route.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 7, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\me\route.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 4, 26
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\request\route.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\resend-email\route.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 11, 51
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify-email\route.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 6, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify\route.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 6, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\password\forgot\route.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\password\reset\route.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\refresh\route.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 9, 48
