"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "MS SQL", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\request\route.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\resend-email\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 4, 11, 51
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify-email\route.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 2, 6, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\otp\verify\route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 1, 7
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\password\forgot\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\password\reset\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\refresh\route.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 10, 5, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\register\route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 2, -1, 2
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\select-role\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 3, 6, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\active\route.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\availability\route.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 8, 25, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\preferences\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\profile\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 2, 4, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\appointments-public\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 2, 10, 48
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\availability-public\route.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 1, 9, 40
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\route.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 10, -3, 0
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\verify\route.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, -5, -1, -15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, -3, 4
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\files\[...path]\route.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 4, 19, 77
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\me\preferences\route.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 8, 23, 103
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\patients\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, -2, 0, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\context\AuthContext.tsx", "TypeScript JSX", 0, -38, 0, 0, 0, 0, 0, -22, -9, -69
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\AppointmentQueueSkeleton.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 1, 1, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\AppointmentsDetailsSkeleton.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 5, 4, 53
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\[id]\page.tsx", "TypeScript JSX", 0, 190, 0, 0, 0, 0, 0, 11, 15, 216
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\appointments\page.tsx", "TypeScript JSX", 0, 81, 0, 0, 0, 0, 0, 4, 10, 95
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\availability\page.tsx", "TypeScript JSX", 0, 160, 0, 0, 0, 0, 0, 12, 24, 196
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\dashboard\page.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 5, 4, 57
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\earnings\page.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 0, 3, 7, 80
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\layout.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\onboarding\page.tsx", "TypeScript JSX", 0, 195, 0, 0, 0, 0, 0, 11, 16, 222
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\page.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 10, 9, 90
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\clinic\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\layout.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\page.tsx", "TypeScript JSX", 0, -13, 0, 0, 0, 0, 0, 1, -2, -14
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\personal\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\professional\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\security\page.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\verification\page.tsx", "TypeScript JSX", 0, 195, 0, 0, 0, 0, 0, 11, 16, 222
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\[publicId]\page.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 0, 0, 6, 17, 101
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\confirmation\page.tsx", "TypeScript JSX", 0, 79, 0, 0, 0, 0, 0, -6, 15, 88
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\page.tsx", "TypeScript JSX", 0, -26, 0, 0, 0, 0, 0, 0, -5, -31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\page.tsx", "TypeScript JSX", 0, 85, 0, 0, 0, 0, 0, 1, 14, 100
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\layout.tsx", "TypeScript JSX", 0, -13, 0, 0, 0, 0, 0, -2, -1, -16
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\book\page.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 0, 0, 9, 19, 151
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\loading.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 4, 3, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\page.tsx", "TypeScript JSX", 0, 207, 0, 0, 0, 0, 0, 3, 71, 281
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\danger-zone\page.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\dashboard\page.tsx", "TypeScript JSX", 0, -17, 0, 0, 0, 0, 0, 0, -2, -19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\emergency-contacts\page.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\layout.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, -4, -1, 3
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\notifications\page.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\page.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\services\auth.service.ts", "TypeScript", -16, 0, 0, 0, 0, 0, 0, -22, -9, -47
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 1, 0, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminTopBar.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\RecentActivity.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 13, 7, 88
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentActionsMenu.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentFilters.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 4, 10, 104
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentPagination.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 1, 2, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentStatusBadge.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentTable.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 1, 0, 29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\appointment-requests\AppointmentTableRow.tsx", "TypeScript JSX", 0, -2, 0, 0, 0, 0, 0, 1, 2, 1
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\clinic\ClinicTable.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationFilters.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 2, 9, 74
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationPagination.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 1, 6, 58
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationStatusBadge.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 2, 0, 7
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationTable.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 1, 1, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationTableRow.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2, 0, 4
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor-verification\VerificationsActionsMenu.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 3, 1, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorFilters.tsx", "TypeScript JSX", 0, 136, 0, 0, 0, 0, 0, 8, 18, 162
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorPagination.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 2, 16, 104
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorRowAction.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, 0, 0, 3, -3, -6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\DoctorTable.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 23, 7, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\StatsCard.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, -1, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\doctor\types.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 3, 2, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\patient\PatientFilter.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 4, 11, 105
